AA制	ei˥ ei˥ ʦɐi˧
催稿	ʦʰɵy˥ kou˧˥
傭	jʊŋ˨˩
傭人	jʊŋ˨˩ jɐn˨˩
傭工	jʊŋ˨˩ kʊŋ˥
傮	ʦʰou˨˩
傯	tsʊŋ˧˥
傱	sʊŋ˧˥
傲	ŋou˨
傲人	ŋou˨ jɐn˨˩
傲慢	ŋou˨ maːn˨
傲气	ŋou˨ hei˧
傲气凌人	ŋou˨ hei˧ lɪŋ˨˩ jɐn˨˩
傲然	ŋou˨ iːn˨˩
傲视	ŋou˨ siː˨
傲视一切	ŋou˨ siː˨ jɐt̚˥ ʦʰɐi˧
傲骨	ŋou˨ kʷɐt̚˥
傳信	tsʰyːn˨˩ sɵn˧
傳信鴿	tsʰyːn˨˩ sɵn˧ kɐp̚˧
傳動	tsʰyːn˨˩ tʊŋ˨
傳動力	tsʰyːn˨˩ tʊŋ˨ lɪk̚˨
傳動帶	tsʰyːn˨˩ tʊŋ˨ taːi˧
傳動裝置	tsʰyːn˨˩ tʊŋ˨ tsɔːŋ˥ tsiː˧
傳問	tsʰyːn˨˩ mɐn˨
傳喚	tsʰyːn˨˩ wuːn˨
傳單	tsʰyːn˨˩ taːn˥
傳奇	tsʰyːn˨˩ kʰei˨˩
傳媒	tsʰyːn˨˩ muːi˨˩
傳宗接代	tsʰyːn˨˩ tsʊŋ˥ tsiːp̚˧ tɔːi˨
傳家之寶	tsʰyːn˨˩ kaː˥ tsiː˥ pou˧˥
傳審	tsʰyːn˨˩ sɐm˧˥
傳導	tsʰyːn˨˩ tou˨
傳導性	tsʰyːn˨˩ tou˨ sɪŋ˧
傳導體	tsʰyːn˨˩ tou˨ tʰɐi˧˥
傳感器	tsʰyːn˨˩ kɐm˧˥ hei˧
傳承	tsʰyːn˨˩ sɪŋ˨˩
傳授	tsʰyːn˨˩ sɐu˨
傳授法	tsʰyːn˨˩ sɐu˨ faːt̚˧
傳播	tsʰyːn˨˩ pɔː˧
傳播媒介	tsʰyːn˨˩ pɔː˧ muːi˨˩ kaːi˧
傳播媒體	tsʰyːn˨˩ pɔː˧ muːi˨˩ tʰɐi˧˥
傳播學	tsʰyːn˨˩ pɔː˧ hɔːk̚˨
傳播界	tsʰyːn˨˩ pɔː˧ kaːi˧
傳教	tsʰyːn˨˩ kaːu˧
傳教士	tsʰyːn˨˩ kaːu˧ siː˨
傳染	tsʰyːn˨˩ jiːm˩˧
傳染性	tsʰyːn˨˩ jiːm˩˧ sɪŋ˧
傳染病	tsʰyːn˨˩ jiːm˩˧ pɛːŋ˨
傳為佳話	tsʰyːn˨˩ wɐi˨˩ kaːi˥ waː˧˥
傳熱	tsʰyːn˨˩ jiːt̚˨
傳球	tsʰyːn˨˩ kʰɐu˨˩
傳球法	tsʰyːn˨˩ kʰɐu˨˩ faːt̚˧
傳眞	tsʰyːn˨˩ tsɐn˥
傳真	tsʰyːn˨˩ tsɐn˥
傳真機	tsʰyːn˨˩ tsɐn˥ kei˥
傳神	tsʰyːn˨˩ sɐn˨˩
傳票	tsʰyːn˨˩ pʰiːu˧
傳統	tsʰyːn˨˩ tʰʊŋ˧˥
傳統教育	tsʰyːn˨˩ tʰʊŋ˧˥ kaːu˧ jʊk̚˨
傳聞	tsʰyːn˨˩ mɐn˨˩
傳菜	tsʰyːn˨˩ tsʰɔːi˧
傳言	tsʰyːn˨˩ jiːn˨˩
傳訊	tsʰyːn˨˩ sɵn˧
傳記	tsyːn˧˥ kei˧
傳話	tsʰyːn˨˩ waː˧˥
傳說	tsʰyːn˨˩ syːt̚˧
傳說中	tsʰyːn˨˩ syːt̚˧ tsʊŋ˥
傳說人物	tsʰyːn˨˩ syːt̚˧ jɐn˨˩ mɐt̚˨
傳送	tsʰyːn˨˩ sʊŋ˧
傳遍	tsʰyːn˨˩ pʰiːn˧
傳達	tsʰyːn˨˩ taːt̚˨
傳遞	tsʰyːn˨˩ tɐi˨
傳銷	tsʰyːn˨˩ siːu˥
傳開	tsʰyːn˨˩ hɔːi˥
傳頌	tsʰyːn˨˩ tsʊŋ˨
傳頌千古	tsʰyːn˨˩ tsʊŋ˨ tsʰiːn˥ kuː˧˥
傴	jyː˧˥
傴僂	jyː˧˥ lɐu˨˩
債	tsaːi˧
債主	tsaːi˧ tsyː˧˥
債券	tsaːi˧ hyːn˧
債務	tsaːi˧ mou˨
債務人	tsaːi˧ mou˨ jɐn˨˩
債務國	tsaːi˧ mou˨ kʷɔːk̚˧
債台高築	tsaːi˧ tʰɔːi˨˩ kou˥ tsʊk̚˥
債戶	tsaːi˧ wuː˨
債權	tsaːi˧ kʰyːn˨˩
債權人	tsaːi˧ kʰyːn˨˩ jɐn˨˩
債權國	tsaːi˧ kʰyːn˨˩ kʷɔːk̚˧
債款	tsaːi˧ fuːn˧˥
債臺高築	tsaːi˧ tʰɔːi˨˩ kou˥ tsʊk̚˥
傶	ʦʰɪk̚˥
傷	sœːŋ˥
傷亡	sœːŋ˥ mɔːŋ˨˩
傷亡慘重	sœːŋ˥ mɔːŋ˨˩ tsʰɐm˧˥ tsʊŋ˨
傷人	sœːŋ˥ jɐn˨˩
傷勢	sœːŋ˥ sɐi˧
傷口	sœːŋ˥ hɐu˧˥
傷口發炎	sœːŋ˥ hɐu˧˥ faːt̚˧ jiːm˨˩
傷員	sœːŋ˥ jyːn˨˩
傷天害理	sœːŋ˥ tʰiːn˥ hɔːi˨ lei˩˧
傷害	sœːŋ˥ hɔːi˨
傷害力	sœːŋ˥ hɔːi˨ lɪk̚˨
傷害性	sœːŋ˥ hɔːi˨ sɪŋ˧
傷害罪	sœːŋ˥ hɔːi˨ tsɵy˨
傷寒	sœːŋ˥ hɔːn˨˩
傷寒病	sœːŋ˥ hɔːn˨˩ pɛːŋ˨
傷心	sœːŋ˥ sɐm˥
傷心欲絕	sœːŋ˥ sɐm˥ jʊk̚˨ tsyːt̚˨
傷患	sœːŋ˥ waːn˨
傷悲	sœːŋ˥ pei˥
傷感	sœːŋ˥ kɐm˧˥
傷感情	sœːŋ˥ kɐm˧˥ tsʰɪŋ˨˩
傷殘	sœːŋ˥ tsʰaːn˨˩
傷疤	sœːŋ˥ paː˥
傷病員	sœːŋ˥ pɪŋ˨ jyːn˨˩
傷痕	sœːŋ˥ hɐn˨˩
傷痕累累	sœːŋ˥ hɐn˨˩ lɵy˩˧ lɵy˩˧
傷痛	sœːŋ˥ tʰʊŋ˧
傷者	sœːŋ˥ tsɛː˧˥
傷胃	sœːŋ˥ wɐi˨
傷處	sœːŋ˥ tsʰyː˧
傷身	sœːŋ˥ sɐn˥
傷風	sœːŋ˥ fʊŋ˥
傷風感冒	sœːŋ˥ fʊŋ˥ kɐm˧˥ mou˨
傷風敗俗	sœːŋ˥ fʊŋ˥ paːi˨ tsʊk̚˨
傺	ʦʰɐi˧
傻	sɔː˨˩
傻事	sɔː˨˩ siː˨
傻人	sɔː˨˩ jɐn˨˩
傻仔	sɔː˨˩ ʦɐi˧˥
傻仔水	sɔː˨˩ ʦɐi˧˥ sɵy˧˥
傻佬	sɔː˨˩ lou˧˥
傻傻哋	sɔː˨˩ sɔː˧˥ tei˧˥
傻傻更更	sɔː˨˩ sɔː˨˩ kaːŋ˥ kaːŋ˥
傻头傻脑	sɔː˨˩ tʰɐu˨˩ sɔː˨˩ nou˩˧
傻女	sɔː˨˩ nɵy˧˥
傻妹	sɔː˨˩ muːi˥
傻婆	sɔː˨˩ pʰɔː˧˥
傻更	sɔː˨˩ kaːŋ˥
傻更更	sɔː˨˩ kaːŋ˥ kaːŋ˥
傻气	sɔː˨˩ hei˧
傻氣	sɔː˨˩ hei˧
傻瓜	sɔː˨˩ kʷaː˥
傻眼	sɔː˨˩ ŋaːn˩˧
傻笑	sɔː˨˩ siːu˧
傻話	sɔː˨˩ waː˧˥
傻话	sɔː˨˩ waː˧˥
傽	ʦœːŋ˥
傾	kʰɪŋ˥
傾世界	kʰɪŋ˥ sɐi˧ kaːi˧
傾倒	kʰɪŋ˥ tou˧˥
傾偈	kʰɪŋ˥ kɐi˧˥
傾傾吓	kʰɪŋ˥ kʰɪŋ˥ haː˩˧
傾公事	kʰɪŋ˥ kʊŋ˥ siː˨
傾出	kʰɪŋ˥ tsʰɵt̚˥
傾力	kʰɪŋ˥ lɪk̚˨
傾吐	kʰɪŋ˥ tʰou˧
傾向	kʰɪŋ˥ hœːŋ˧
傾向於	kʰɪŋ˥ hœːŋ˧ jyː˥
傾吓	kʰɪŋ˥ haː˩˧
傾吓傾吓	kʰɪŋ˥ haː˩˧ kʰɪŋ˥ haː˩˧
傾听	kʰɪŋ˥ tʰɪŋ˥
傾唔埋	kʰɪŋ˥ m̩˨˩ maːi˨˩
傾唔掂	kʰɪŋ˥ m̩˨˩ tiːm˨
傾唔掂數	kʰɪŋ˥ m̩˨˩ tiːm˨ sou˧
傾唔落去	kʰɪŋ˥ m̩˨˩ lɔːk̚˨ hɵy˧
傾唔𠶧	kʰɪŋ˥ m̩˨˩ tiːm˨
傾家蕩產	kʰɪŋ˥ kaː˥ tɔːŋ˨ tsʰaːn˧˥
傾密偈	kʰɪŋ˥ mɐt̚˨ kɐi˧˥
傾巢而出	kʰɪŋ˥ tsʰaːu˨˩ jiː˨˩ tsʰɵt̚˥
傾得	kʰɪŋ˥ tɐk̚˥
傾得埋	kʰɪŋ˥ tɐk̚˥ maːi˨˩
傾心	kʰɪŋ˥ sɐm˥
傾心事	kʰɪŋ˥ sɐm˥ siː˨
傾心吐意	kʰɪŋ˥ sɐm˥ tʰou˧ jiː˧
傾慕	kʰɪŋ˥ mou˨
傾掂	kʰɪŋ˥ tiːm˨
傾斜	kʰɪŋ˥ tsʰɛː˨˩
傾斜度	kʰɪŋ˥ tsʰɛː˨˩ tou˨
傾斜角	kʰɪŋ˥ tsʰɛː˨˩ kɔːk̚˧
傾注	kʰɪŋ˥ tsyː˧
傾瀉	kʰɪŋ˥ sɛː˧
傾生意	kʰɪŋ˥ saːŋ˥ jiː˧
傾盆大雨	kʰɪŋ˥ pʰuːn˨˩ taːi˨ jyː˩˧
傾箱倒篋	kʰɪŋ˥ sœːŋ˥ tou˧˥ haːp̚˨
傾聽	kʰɪŋ˥ tʰɛːŋ˥
傾計	kʰɪŋ˥ kɐi˧˥
傾訴	kʰɪŋ˥ sou˧
傾談	kʰɪŋ˥ tʰaːm˨˩
傾銷	kʰɪŋ˥ siːu˥
傾銷法	kʰɪŋ˥ siːu˥ faːt̚˧
傾銷稅	kʰɪŋ˥ siːu˥ sɵy˧
傾閒偈	kʰɪŋ˥ haːn˨˩ kɐi˧˥
傾陣	kʰɪŋ˥ tsɐn˨
傾電話	kʰɪŋ˥ tiːn˨ waː˧˥
傿	iːn˧
僁	sɪk̚˥
僂	lɐu˨˩
僄	pʰiːu˧
僅以身免	kɐn˧˥ jiː˩˧ sɐn˥ miːn˩˧
僅供	kɐn˧˥ kʊŋ˥
僅供參考	kɐn˧˥ kʊŋ˥ tsʰaːm˥ haːu˧˥
僅僅	kɐn˧˥ kɐn˧˥
僅可	kɐn˧˥ hɔː˧˥
僅存	kɐn˧˥ tsʰyːn˨˩
僅有	kɐn˧˥ jɐu˩˧
僅次於	kɐn˧˥ tsʰiː˧ jyː˥
僅此	kɐn˧˥ tsʰiː˧˥
僆	lɛːŋ˥
僆仔	lɛːŋ˥ ʦɐi˧˥
僆女	lɛːŋ˥ nɵy˧˥
僆妹	lɛːŋ˥ muːi˥
僆妹仔	lɛːŋ˥ muːi˥ ʦɐi˧˥
僆模	lɛːŋ˥ mou˨˩
僆琼	lɛːŋ˥ kʰɛːŋ˥
僇	lʊk̚˨
僈	maːn˨
僉	tsʰiːm˥
僊	siːn˥
僎	syːn˧˥
像	ʦœːŋ˨
僑	kʰiːu˨˩
僓	tʰɵy˨˩
僔	ʦyːn˧˥
僕	pʊk̚˨
僕人	pʊk̚˨ jɐn˨˩
僕役	pʊk̚˨ jɪk̚˨
僖	hei˥
僗	lou˨˩
僚	liːu˨˩
僛	hei˥
僝	ʦʰaːn˨˩
僞	ŋɐi˨
僣	ʦiːm˧
僥倖	hiːu˥ hɐŋ˨
僥倖獲勝	hiːu˥ hɐŋ˨ wɔːk̚˨ sɪŋ˧
僥幸	hiːu˥ hɐŋ˨
僦	ʦɐu˨
僧	sɐŋ˥
僧人	ʦɐŋ˥ jɐn˨˩
僧侣	ʦɐŋ˥ lɵy˩˧
僧侶	tsɐŋ˥ lɵy˩˧
僧堂	ʦɐŋ˥ tʰɔːŋ˨˩
僧多粥少	ʦɐŋ˥ tɔː˥ ʦʊk̚˥ siːu˧˥
僧寺	ʦɐŋ˥ ʦiː˨
僧尼	ʦɐŋ˥ nei˨˩
僧徒	ʦɐŋ˥ tʰou˨˩
僧服	ʦɐŋ˥ fʊk̚˥
僧袍	ʦɐŋ˥ pʰou˨˩
僧院	ʦɐŋ˥ jyːn˨
僨	fɐn˩˧
僩	haːn˩˧
僬	ʦiːu˥
僭	ʦʰiːm˧
僭建	ʦʰiːm˩˧ kiːn˧
僭越	ʦʰiːm˧ jyːt̚˨
僮	tʰʊŋ˨˩
僰	paːk̚˨
僱	kuː˧
僱主	kuː˧ tsyː˧˥
僳	sʊk̚˥
僵	kœːŋ˥
僵硬	kœːŋ˥ ŋaːŋ˨
僶	mɐn˩˧
僸	kɐm˧
價	kaː˧
價值	kaː˧ tsɪk̚˨
價值觀	kaː˧ tsɪk̚˨ kuːn˥
價格	kaː˧ kaːk̚˧
價錢	kaː˧ tsʰiːn˨˩
價錢相宜	kaː˧ tsʰiːn˨˩ sœːŋ˥ jiː˨˩
僻	pʰɪk̚˥
僻价	pʰɛːk̚˧ kaː˧
僻價	pʰɛːk̚˧ kaː˧
僽	ʦɐu˧
僾	ɔːi˧˥
僿	siː˥
儀	jiː˨˩
儀器	jiː˨˩ hei˧
儀容	jiː˨˩ jʊŋ˨˩
儀式	jiː˨˩ sɪk̚˥
儀態	jiː˨˩ tʰaːi˧
儀態萬千	jiː˨˩ tʰaːi˧ maːn˨ tsʰiːn˥
儀態萬方	jiː˨˩ tʰaːi˧ maːn˨ fɔːŋ˥
儀表	jiː˨˩ piːu˧˥
儀表堂堂	jiː˨˩ piːu˧˥ tʰɔːŋ˨˩ tʰɔːŋ˨˩
儀錶	jiː˨˩ piːu˥
儂	nʊŋ˨˩
儃	ʦʰiːn˨˩
億	jɪk̚˥
億萬	jɪk̚˥ maːn˨
億萬富翁	jɪk̚˥ maːn˨ fuː˧ jʊŋ˥
儆	kɪŋ˧˥
儆惜	kɛːŋ˨ sɛːk̚˧
儆錫	kɛːŋ˨ sɛːk̚˧
儆锡	kɛːŋ˨ sɛːk̚˧
儇	hyːn˥
儈	kʰuːi˧˥
儉	kiːm˨
儉樸	kiːm˨ pʰɔːk̚˧
儉省	kiːm˨ saːŋ˧˥
儉約	kiːm˨ jœːk̚˧
儊	ʦʰɔː˧
儋	taːm˥
儍	sɔː˨˩
儒	jyː˨˩
儒学	jyː˨˩ hɔːk̚˨
儒學	jyː˨˩ hɔːk̚˨
儒家	jyː˨˩ kaː˥
儒教	jyː˨˩ kaːu˧
儒术	jyː˨˩ sɵt̚˨
儒林	jyː˨˩ lɐm˨˩
儒生	jyː˨˩ sɐŋ˥
儒者	jyː˨˩ ʦɛː˧˥
儒艮	jyː˨˩ kɐn˧
儒術	jyː˨˩ sɵt̚˨
儒雅	jyː˨˩ ŋaː˩˧
儓	tʰɔːi˨˩
儔	tsʰɐu˨˩
儕	tsʰaːi˨˩
儕輩	tsʰaːi˨˩ puːi˧
儗	hɔːi˧
儘	tsɵn˧˥
儘快	tsɵn˧˥ faːi˧
儘管	tsɵn˧˥ kuːn˧˥
儘量	tsɵn˧˥ lœːŋ˨
儚	mʊŋ˩˧
儜	nɪŋ˨˩
償還	sœːŋ˨˩ waːn˨˩
儠	liːp̚˨
儡	lɵy˩˧
儢	lɵy˩˧
儤	pou˧
儥	jʊk̚˨
儦	piːu˥
儩	ʦʰiː˧
優	jɐu˥
優伶	jɐu˥ lɪŋ˨˩
優先	jɐu˥ siːn˥
優先權	jɐu˥ siːn˥ kʰyːn˨˩
優先發展	jɐu˥ siːn˥ faːt̚˧ tsiːn˧˥
優先股	jɐu˥ siːn˥ kuː˧˥
優劣	jɐu˥ lyːt̚˧
優勝	jɐu˥ sɪŋ˧
優勝劣敗	jɐu˥ sɪŋ˧ lyːt̚˧ paːi˨
優勝獎	jɐu˥ sɪŋ˧ tsœːŋ˧˥
優勝者	jɐu˥ sɪŋ˧ tsɛː˧˥
優勝隊	jɐu˥ sɪŋ˧ tɵy˨
優勢	jɐu˥ sɐi˧
優厚	jɐu˥ hɐu˩˧
優哉游哉	jɐu˥ tsɔːi˥ jɐu˨˩ tsɔːi˥
優待	jɐu˥ tɔːi˨
優惠	jɐu˥ wɐi˨
優惠價	jɐu˥ wɐi˨ kaː˧
優惠價格	jɐu˥ wɐi˨ kaː˧ kaːk̚˧
優惠待遇	jɐu˥ wɐi˨ tɔːi˨ jyː˨
優惠關稅	jɐu˥ wɐi˨ kʷaːn˥ sɵy˧
優生	jɐu˥ sɐŋ˥
優生學	jɐu˥ sɐŋ˥ hɔːk̚˨
優異	jɐu˥ jiː˨
優異性	jɐu˥ jiː˨ sɪŋ˧
優秀	jɐu˥ sɐu˧
優秀學生	jɐu˥ sɐu˧ hɔːk̚˨ saːŋ˥
優等	jɐu˥ tɐŋ˧˥
優等獎	jɐu˥ tɐŋ˧˥ tsœːŋ˧˥
優等生	jɐu˥ tɐŋ˧˥ saːŋ˥
優缺點	jɐu˥ kʰyːt̚˧ tiːm˧˥
優美	jɐu˥ mei˩˧
優翻條褲	jɐu˥ faːn˥ tʰiːu˨˩ fuː˧
優良	jɐu˥ lœːŋ˨˩
優良單株	jɐu˥ lœːŋ˨˩ taːn˥ tsyː˥
優良性	jɐu˥ lœːŋ˨˩ sɪŋ˧
優裕	jɐu˥ jyː˨
優褲	jɐu˥ fuː˧
優襪	jɐu˥ mɐt̚˨
優質	jɐu˥ tsɐt̚˥
優質鋼	jɐu˥ tsɐt̚˥ kɔːŋ˧
優越	jɐu˥ jyːt̚˨
優越性	jɐu˥ jyːt̚˨ sɪŋ˧
優越感	jɐu˥ jyːt̚˨ kɐm˧˥
優遊	jɐu˥ jɐu˨˩
優遊自在	jɐu˥ jɐu˨˩ tsiː˨ tsɔːi˨
優點	jɐu˥ tiːm˧˥
儭	tsʰɐn˧
儱	lʊŋ˩˧
儲	tsʰou˩˧
儲位	tsʰyː˩˧ wɐi˨
儲備	tsʰyː˩˧ pei˨
儲備量	tsʰyː˩˧ pei˨ lœːŋ˨
儲君	tsʰyː˩˧ kʷɐn˥
儲埋	tsʰou˩˧ maːi˨˩
儲存	tsʰyː˩˧ tsʰyːn˨˩
儲存區	tsʰyː˩˧ tsʰyːn˨˩ kʰɵy˥
儲存器	tsʰyː˩˧ tsʰyːn˨˩ hei˧
儲存室	tsʰyː˩˧ tsʰyːn˨˩ sɐt̚˥
儲存庫	tsʰyː˩˧ tsʰyːn˨˩ fuː˧
儲存量	tsʰyː˩˧ tsʰyːn˨˩ lœːŋ˨
儲水	tsʰyː˩˧ sɵy˧˥
儲水量	tsʰyː˩˧ sɵy˧˥ lœːŋ˨
儲蓄	tsʰyː˩˧ tsʰʊk̚˥
儲蓄存款	tsʰyː˩˧ tsʰʊk̚˥ tsʰyːn˨˩ fuːn˧˥
儲蓄機構	tsʰyː˩˧ tsʰʊk̚˥ kei˥ kʰɐu˧
儲蓄金	tsʰyː˩˧ tsʰʊk̚˥ kɐm˥
儲藏	tsʰyː˩˧ tsʰɔːŋ˨˩
儲藏室	tsʰyː˩˧ tsʰɔːŋ˨˩ sɐt̚˥
儲藏所	tsʰyː˩˧ tsʰɔːŋ˨˩ sɔː˧˥
儲藏量	tsʰyː˩˧ tsʰɔːŋ˨˩ lœːŋ˨
儲郵票	tsʰou˩˧ jɐu˨˩ pʰiːu˧
儲量	tsʰyː˩˧ lœːŋ˨
儲金	tsʰyː˩˧ kɐm˥
儲錢	tsʰou˩˧ tsʰiːn˧˥
儲電量	tsʰyː˩˧ tiːn˨ lœːŋ˨
儳	ʦʰaːm˧
儴	jœːŋ˨˩
儵	sʊk̚˥
儷	lɐi˨
儷影	lɐi˨ jɪŋ˧˥
儷辭	lɐi˨ tsʰiː˨˩
儸	lɔː˨˩
儹	ʦaːn˧˥
儺	nɔː˨˩
儻	tʰɔːŋ˧˥
儼	jiːm˩˧
儼如	jiːm˩˧ jyː˨˩
儼然	jiːm˩˧ jiːn˨˩
儼若	jiːm˩˧ jœːk̚˨
儽	lɵy˨˩
儿	iː˨˩
儿化	iː˨˩ faː˧
儿化韵	iː˨˩ faː˧ wɐn˨
儿嬉	iː˨˩ hei˥
儿孙	iː˨˩ syːn˥
儿孙满堂	iː˨˩ syːn˥ muːn˩˧ tʰɔːŋ˨˩
儿孙自有儿孙福	iː˨˩ syːn˥ ʦiː˨ jɐu˩˧ iː˨˩ syːn˥ fʊk̚˥
儿戏	iː˨˩ hei˧
儿歌	iː˨˩ kɔː˥
儿科	iː˨˩ fɔː˥
儿科医生	iː˨˩ fɔː˥ iː˥ sɐŋ˥
儿童	iː˨˩ tʰʊŋ˨˩
儿童心理学	iː˨˩ tʰʊŋ˨˩ sɐm˥ lei˩˧ hɔːk̚˨
儿童教育	iː˨˩ tʰʊŋ˨˩ kaːu˧ jʊk̚˨
儿童文学	iː˨˩ tʰʊŋ˨˩ mɐn˨˩ hɔːk̚˨
兀	ŋɐt̚˨
兀自	ŋɐt̚˨ ʦiː˨
兀鹰	ŋɐt̚˨ jɪŋ˥
允	wɐn˩˧
允許	wɐn˩˧ hɵy˧˥
允许	wɐn˩˧ hɵy˧˥
兂	ʦaːm˥
元	jyːn˨˩
元宝蜡烛	jyːn˨˩ pou˧˥ laːp̚˨ ʦʊk̚˥
元宝蜡烛香	jyːn˨˩ pou˧˥ laːp̚˨ ʦʊk̚˥ hœːŋ˥
元宵	jyːn˨˩ siːu˥
元宵節	jyːn˨˩ siːu˥ tsiːt̚˧
元宵节	jyːn˨˩ siːu˥ ʦiːt̚˧
元寶蠟燭	jyːn˨˩ pou˧˥ laːp̚˨ tsʊk̚˥
元寶蠟燭香	jyːn˨˩ pou˧˥ laːp̚˨ tsʊk̚˥ hœːŋ˥
元明清	jyːn˨˩ mɪŋ˨˩ ʦʰɪŋ˥
元朝	jyːn˨˩ ʦʰiːu˨˩
元素	jyːn˨˩ sou˧
兄	hɪŋ˥
兄弟	hɪŋ˥ tɐi˨
充	ʦʰʊŋ˥
充充电	ʦʰʊŋ˥ ʦʰʊŋ˥ tɪŋ˨
充充電	tsʰʊŋ˥ tsʰʊŋ˥ tɪŋ˨
充分	ʦʰʊŋ˥ fɐn˧
充大头鬼	ʦʰʊŋ˥ taːi˨ tʰɐu˨˩ kʷɐi˧˥
充大頭鬼	tsʰʊŋ˥ taːi˨ tʰɐu˨˩ kʷɐi˧˥
充实	ʦʰʊŋ˥ sɐt̚˨
充實	tsʰʊŋ˥ sɐt̚˨
充斥	ʦʰʊŋ˥ ʦʰɪk̚˥
充满	ʦʰʊŋ˥ muːn˩˧
充滿	tsʰʊŋ˥ muːn˩˧
充电	ʦʰʊŋ˥ tiːn˨
充闊佬	tsʰʊŋ˥ fuːt̚˧ lou˧˥
充阔佬	ʦʰʊŋ˥ fuːt̚˧ lou˧˥
充電	tsʰʊŋ˥ tiːn˨
充飢	tsʰʊŋ˥ kei˥
充饑	tsʰʊŋ˥ kei˥
充饥	ʦʰʊŋ˥ kei˥
兆	siːu˨
兆头	siːu˨ tʰɐu˨˩
兆頭	siːu˨ tʰɐu˨˩
兇	hʊŋ˥
兇徒	hʊŋ˥ tʰou˨˩
兇手	hʊŋ˥ sɐu˧˥
兇神惡	hʊŋ˥ sɐn˨˩ ŋɔːk̚˧
兇神惡殺	hʊŋ˥ sɐn˨˩ ŋɔːk̚˧ saːt̚˥
先	siːn˥
先一排	siːn˥ jɐt̚˥ pʰaːi˧˥
先发制人	siːn˥ faːt̚˧ ʦɐi˧ jɐn˨˩
先嗰排	siːn˥ kɔː˧˥ pʰaːi˧˥
先嗰輪	siːn˥ kɔː˧˥ lɵn˨˩
先头	siːn˥ tʰɐu˨˩
先小人后君子	siːn˥ siːu˧˥ jɐn˨˩ hɐu˨ kʷɐn˥ ʦiː˧˥
先小人後君子	siːn˥ siːu˧˥ jɐn˨˩ hɐu˨ kʷɐn˥ tsiː˧˥
先得	siːn˥ tɐk̚˥
先排	siːn˥ pʰaːi˧˥
先斩后奏	siːn˥ tsaːm˧˥ hɐu˨ tsɐu˧
先斬後奏	siːn˥ tsaːm˧˥ hɐu˨ tsɐu˧
先时	siːn˥ siː˨˩
先時	siːn˥ siː˨˩
先晚	siːn˥ maːn˩˧
先生	siːn˥ saːŋ˥
先發制人	siːn˥ faːt̚˧ tsɐi˧ jɐn˨˩
先睹为快	siːn˥ tou˧˥ wɐi˨˩ faːi˧
先睹為快	siːn˥ tou˧˥ wɐi˨˩ faːi˧
先知	siːn˥ ʦiː˥
先礼后兵	siːn˥ lɐi˩˧ hɐu˨ pɪŋ˥
先祖	siːn˥ ʦou˧˥
先禮後兵	siːn˥ lɐi˩˧ hɐu˨ pɪŋ˥
先秦	siːn˥ ʦʰɵn˨˩
先至	siːn˥ ʦiː˧
先至唔会	siːn˥ ʦiː˧ m̩˨˩ uːi˩˧
先至唔會	siːn˥ tsiː˧ m̩˨˩ wuːi˩˧
先行	siːn˥ hɐŋ˨˩
先行者	siːn˥ hɐŋ˨˩ ʦɛː˧˥
先見之明	siːn˥ kiːn˧ tsiː˥ mɪŋ˨˩
先见之明	siːn˥ kiːn˧ ʦiː˥ mɪŋ˨˩
先进	siːn˥ ʦɵn˧
先進	siːn˥ tsɵn˧
先鋒	siːn˥ fʊŋ˥
先锋	siːn˥ fʊŋ˥
先頭	siːn˥ tʰɐu˨˩
先驅	siːn˥ kʰɵy˥
先驱	siːn˥ kʰɵy˥
先𠮶排	siːn˥ kɔː˧˥ pʰaːi˧˥
先𠮶轮	siːn˥ kɔː˧˥ lɵn˨˩
光	kʷɔːŋ˥
光伥伥	kʷɔːŋ˥ tsʰaːŋ˨˩ tsʰaːŋ˨˩
光倀倀	kʷɔːŋ˥ tsʰaːŋ˨˩ tsʰaːŋ˨˩
光劖劖	kʷɔːŋ˥ tsʰaːm˨˩ tsʰaːm˨˩
光华	kʷɔːŋ˥ waː˨˩
光合	kʷɔːŋ˥ hɐp̚˨
光合作用	kʷɔːŋ˥ hɐp̚˨ ʦɔːk̚˧ jʊŋ˨
光复	kʷɔːŋ˥ fʊk̚˨
光天化日	kʷɔːŋ˥ tʰiːn˥ faː˧ jɐt̚˨
光天化日之下	kʷɔːŋ˥ tʰiːn˥ faː˧ jɐt̚˨ ʦiː˥ haː˨
光头	kʷɔːŋ˥ tʰɐu˨˩
光头佬	kʷɔːŋ˥ tʰɐu˨˩ lou˧˥
光学	kʷɔːŋ˥ hɔːk̚˨
光學	kʷɔːŋ˥ hɔːk̚˨
光宗耀祖	kʷɔːŋ˥ ʦʊŋ˥ iːu˨ ʦou˧˥
光巉巉	kʷɔːŋ˥ tsʰaːm˨˩ tsʰaːm˨˩
光年	kʷɔːŋ˥ niːn˨˩
光度	kʷɔːŋ˥ tou˨
光度表	kʷɔːŋ˥ tou˨ piːu˧˥
光度計	kʷɔːŋ˥ tou˨ kɐi˧
光度计	kʷɔːŋ˥ tou˨ kɐi˧
光彩	kʷɔːŋ˥ ʦʰɔːi˧˥
光彩夺目	kʷɔːŋ˥ ʦʰɔːi˧˥ tyːt̚˨ mʊk̚˨
光彩奪目	kʷɔːŋ˥ tsʰɔːi˧˥ tyːt̚˨ mʊk̚˨
